no	name	baseTable	direction	x	y	delay	frame_rate
1	S-E2W2	1	h		1000	12	24
2	S-E2W4	1	h		3000	12	24
3	Sm-E2W2	1	h		204000	12	24
4	Sm-E2W4	1	h		206000	12	24
5	Sm-W2E2	2	h		200000	0	24
6	Sm-W2E4	2	h		202000	0	24
7	Nm-E2W2	1	h		413000	12	24
8	Nm-E2W4	1	h		415000	12	24
9	Nm-W2E2	2	h		409000	0	24
10	Nm-W2E4	2	h		411000	0	24
11	N-W2E2	2	h		591000	0	24
12	N-W2E4	2	h		593000	0	24
13	W-S2N2	3	v	1000		18	24
14	W-S2N	3	v	3000		18	24
15	Wm-S2N2	3	v	263000		18	24
16	Wm-S2N4	3	v	265000		18	24
17	Wm-N2S2	4	v	259000		6	24
18	Wm-N2S4	4	v	261000		6	24
19	Em-N2S2	4	v	640000		6	24
20	Em-N2S4	4	v	642000		6	24
21	Em-S2N2	3	v	644000		18	24
22	Em-S2N4	3	v	646000		18	24
23	E-N2S4	4	v	837000		6	24
24	E-N2S2	4	v	839000		6	24
