frame	y	V
0	none	
1		16000.00
2		16000.00
3		16000.00
4		16000.00
5		16000.00
6		16000.00
7		16000.00
8		16000.00
9		16000.00
10		16000.00
11		16000.00
12		16000.00
13		16000.00
14		16000.00
15		16000.00
16		16000.00
17		16000.00
18	0.00	16000.00
19	666.67	16000.00
20	1333.33	16000.00
21	2000.00	16000.00
22	2666.67	16000.00
23	3333.33	16000.00
24	4000.00	16000.00
25	4666.67	16000.00
26	5333.33	16000.00
27	6000.00	16000.00
28	6666.67	16000.00
29	7333.33	16000.00
30	8000.00	16000.00
31	8666.67	16000.00
32	9333.33	16000.00
33	10000.00	16000.00
34	10666.67	16000.00
35	11333.33	16000.00
36	12000.00	16000.00
37	12666.67	16000.00
38	13333.33	16000.00
39	14000.00	16000.00
40	14666.67	16000.00
41	15333.33	16000.00
42	16000.00	16000.00
43	16666.67	16000.00
44	17333.33	16000.00
45	18000.00	16000.00
46	18666.67	16000.00
47	19333.33	16000.00
48	20000.00	16000.00
49	20666.67	16000.00
50	21333.33	16000.00
51	22000.00	16000.00
52	22666.67	16000.00
53	23333.33	16000.00
54	24000.00	16000.00
55	24666.67	16000.00
56	25333.33	16000.00
57	26000.00	16000.00
58	26666.67	16000.00
59	27333.33	16000.00
60	28000.00	16000.00
61	28666.67	16000.00
62	29333.33	16000.00
63	30000.00	16000.00
64	30666.67	16000.00
65	31333.33	16000.00
66	32000.00	16000.00
67	32666.67	16000.00
68	33333.33	16000.00
69	34000.00	16000.00
70	34666.67	16000.00
71	35333.33	16000.00
72	36000.00	16000.00
73	36666.67	16000.00
74	37333.33	16000.00
75	38000.00	16000.00
76	38666.67	16000.00
77	39333.33	16000.00
78	40000.00	16000.00
79	40666.67	16000.00
80	41333.33	16000.00
81	42000.00	16000.00
82	42666.67	16000.00
83	43333.33	16000.00
84	44000.00	16000.00
85	44666.67	16000.00
86	45333.33	16000.00
87	46000.00	16000.00
88	46666.67	16000.00
89	47333.33	16000.00
90	48000.00	16000.00
91	48666.67	16000.00
92	49333.33	16000.00
93	50000.00	16000.00
94	50666.67	16000.00
95	51333.33	16000.00
96	52000.00	16000.00
97	52666.67	16000.00
