frame	y	V 1175	Wm-S2N3
0	0	16000	265000
1	0	16000	265000
2	0	16000	265000
3	0	16000	265000
4	0	16000	265000
5	0	16000	265000
6	0	16000	265000
7	0	16000	265000
8	0	16000	265000
9	0	16000	265000
10	0	16000	265000
11	0	16000	265000
12	0	16000	265000
13	0	16000	265000
14	0	16000	265000
15	0	16000	265000
16	0	16000	265000
17	0	16000	265000
18	0	16000	265000
19	667	16000	265000
20	1333	16000	265000
21	2000	16000	265000
22	2667	16000	265000
23	3333	16000	265000
24	4000	16000	265000
25	4667	16000	265000
26	5333	16000	265000
27	6000	16000	265000
28	6667	16000	265000
29	7333	16000	265000
30	8000	16000	265000
31	8667	16000	265000
32	9333	16000	265000
33	10000	16000	265000
34	10667	16000	265000
35	11333	16000	265000
36	12000	16000	265000
37	12667	16000	265000
38	13333	16000	265000
39	14000	16000	265000
40	14667	16000	265000
41	15333	16000	265000
42	16000	16000	265000
43	16667	16000	265000
44	17333	16000	265000
45	18000	16000	265000
46	18667	16000	265000
47	19333	16000	265000
48	20000	16000	265000
49	20667	16000	265000
50	21333	16000	265000
51	22000	16000	265000
52	22667	16000	265000
53	23333	16000	265000
54	24000	16000	265000
55	24667	16000	265000
56	25333	16000	265000
57	26000	16000	265000
58	26667	16000	265000
59	27333	16000	265000
60	28000	16000	265000
61	28667	16000	265000
62	29333	16000	265000
63	30000	16000	265000
64	30667	16000	265000
65	31333	16000	265000
66	32000	16000	265000
67	32667	16000	265000
68	33333	16000	265000
69	34000	16000	265000
70	34667	16000	265000
71	35333	16000	265000
72	36000	16000	265000
73	36667	16000	265000
74	37333	16000	265000
75	38000	16000	265000
76	38667	16000	265000
77	39333	16000	265000
78	40000	16000	265000
79	40667	16000	265000
80	41333	16000	265000
81	42000	16000	265000
82	42667	16000	265000
83	43333	16000	265000
84	44000	16000	265000
85	44667	16000	265000
86	45333	16000	265000
87	46000	16000	265000
88	46667	16000	265000
89	47333	16000	265000
90	48000	16000	265000
91	48667	16000	265000
92	49333	16000	265000
93	50000	16000	265000
94	50667	16000	265000
95	51333	16000	265000
96	52000	16000	265000
97	52667	16000	265000
98	53333	16000	265000
99	54000	16000	265000
100	54667	16000	265000
101	55333	16000	265000
102	56000	16000	265000
103	56667	16000	265000
104	57333	16000	265000
105	58000	16000	265000
106	58667	16000	265000
107	59333	16000	265000
108	60000	16000	265000
109	60667	16000	265000
110	61333	16000	265000
111	62000	16000	265000
112	62667	16000	265000
113	63333	16000	265000
114	64000	16000	265000
115	64667	16000	265000
116	65333	16000	265000
117	66000	16000	265000
118	66667	16000	265000
119	67333	16000	265000
120	68000	16000	265000
121	68667	16000	265000
122	69333	16000	265000
123	70000	16000	265000
124	70667	16000	265000
125	71333	16000	265000
126	72000	16000	265000
127	72667	16000	265000
128	73333	16000	265000
129	74000	16000	265000
130	74667	16000	265000
131	75333	16000	265000
132	76000	16000	265000
133	76667	16000	265000
134	77333	16000	265000
135	78000	16000	265000
136	78667	16000	265000
137	79333	16000	265000
138	80000	16000	265000
139	80667	16000	265000
140	81333	16000	265000
141	82000	16000	265000
142	82667	16000	265000
143	83333	16000	265000
144	84000	16000	265000
145	84667	16000	265000
146	85333	16000	265000
147	86000	16000	265000
148	86667	16000	265000
149	87333	16000	265000
150	88000	16000	265000
151	88667	16000	265000
152	89333	16000	265000
153	90000	16000	265000
154	90667	16000	265000
155	91333	16000	265000
156	92000	16000	265000
157	92667	16000	265000
158	93333	16000	265000
159	94000	16000	265000
160	94667	16000	265000
161	95333	16000	265000
162	96000	16000	265000
163	96667	16000	265000
164	97333	16000	265000
165	98000	16000	265000
166	98667	16000	265000
167	99333	16000	265000
168	100000	16000	265000
169	100667	16000	265000
170	101333	16000	265000
171	102000	16000	265000
172	102667	16000	265000
173	103333	16000	265000
174	104000	16000	265000
175	104667	16000	265000
176	105333	16000	265000
177	106000	16000	265000
178	106667	16000	265000
179	107333	16000	265000
180	108000	16000	265000
181	108667	16000	265000
182	109333	16000	265000
183	110000	16000	265000
184	110667	16000	265000
185	111333	16000	265000
186	112000	16000	265000
187	112667	16000	265000
188	113333	16000	265000
189	114000	16000	265000
190	114667	16000	265000
191	115333	16000	265000
192	116000	16000	265000
193	116667	16000	265000
194	117333	16000	265000
195	118000	16000	265000
196	118667	16000	265000
197	119333	16000	265000
198	120000	16000	265000
199	120667	16000	265000
200	121333	16000	265000
201	122000	16000	265000
202	122667	16000	265000
203	123333	16000	265000
204	124000	16000	265000
205	124667	16000	265000
206	125333	16000	265000
207	126000	16000	265000
208	126667	16000	265000
209	127333	16000	265000
210	128000	15979	265000
211	128666	15915	265000
212	129329	15810	265000
213	129988	15665	265000
214	130640	15483	265000
215	131285	15268	265000
216	131922	15022	265000
217	132548	14750	265000
218	133162	14457	265000
219	133764	14147	265000
220	134354	13826	265000
221	134930	13500	265000
222	135493	13174	265000
223	136041	12853	265000
224	136577	12543	265000
225	137100	12250	265000
226	137610	11978	265000
227	138109	11732	265000
228	138598	11517	265000
229	139078	11335	265000
230	139550	11190	265000
231	140016	11085	265000
232	140478	11021	265000
233	140938	11000	265000
234	141396	11021	265000
235	141855	11085	265000
236	142317	11190	265000
237	142783	11335	265000
238	143255	11517	265000
239	143735	11732	265000
240	144224	11978	265000
241	144723	12250	265000
242	145234	12543	265000
243	145756	12853	265000
244	146292	13174	265000
245	146841	13500	265000
246	147403	13826	265000
247	147979	14147	265000
248	148569	14457	265000
249	149171	14750	265000
250	149786	15022	265000
251	150412	15268	265000
252	151048	15483	265000
253	151693	15665	265000
254	152346	15810	265000
255	153004	15915	265000
256	153668	15979	265000
257	154333	16000	265000
258	155000	16000	265000
259	155667	16000	265000
260	156333	16000	265000
261	157000	16000	265000
262	157667	16000	265000
263	158333	16000	265000
264	159000	16000	265000
265	159667	16000	265000
266	160333	16000	265000
267	161000	16000	265000
268	161667	16000	265000
269	162333	16000	265000
270	163000	16000	265000
271	163667	16000	265000
272	164333	16000	265000
273	165000	16000	265000
274	165667	16000	265000
275	166333	16000	265000
276	167000	16000	265000
277	167667	16000	265000
278	168333	16000	265000
279	169000	16000	265000
280	169667	16000	265000
281	170333	16000	265000
282	171000	16000	265000
283	171667	16000	265000
284	172333	16000	265000
285	173000	16000	265000
286	173667	16000	265000
287	174333	16000	265000
288	175000	16000	265000
289	175667	16000	265000
290	176333	16000	265000
291	177000	16000	265000
292	177667	16000	265000
293	178333	16000	265000
294	179000	16000	265000
295	179667	16000	265000
296	180333	16000	265000
297	181000	16000	265000
298	181667	16000	265000
299	182333	16000	265000
300	183000	16000	265000
301	183667	16000	265000
302	184333	16000	265000
303	185000	16000	265000
304	185667	16000	265000
305	186333	16000	265000
306	187000	16000	265000
307	187667	16000	265000
308	188333	16000	265000
309	189000	16000	265000
310	189667	16000	265000
311	190333	16000	265000
312	191000	16000	265000
313	191667	16000	265000
314	192333	16000	265000
315	193000	16000	265000
316	193667	16000	265000
317	194333	16000	265000
318	195000	16000	265000
319	195667	16000	265000
320	196333	16000	265000
321	197000	16000	265000
322	197667	16000	265000
323	198333	16000	265000
324	199000	16000	265000
325	199667	16000	265000
326	200333	16000	265000
327	201000	16000	265000
328	201667	16000	265000
329	202333	16000	265000
330	203000	16000	265000
331	203667	16000	265000
332	204333	16000	265000
333	205000	16000	265000
334	205667	16000	265000
335	206333	16000	265000
336	207000	16000	265000
337	207667	16000	265000
338	208333	16000	265000
339	209000	16000	265000
340	209667	16000	265000
341	210333	16000	265000
342	211000	16000	265000
343	211667	16000	265000
344	212333	16000	265000
345	213000	16000	265000
346	213667	16000	265000
347	214333	16000	265000
348	215000	16000	265000
349	215667	16000	265000
350	216333	16000	265000
351	217000	16000	265000
352	217667	16000	265000
353	218333	16000	265000
354	219000	16000	265000
355	219667	16000	265000
356	220333	16000	265000
357	221000	16000	265000
358	221667	16000	265000
359	222333	16000	265000
360	223000	16000	265000
361	223667	16000	265000
362	224333	16000	265000
363	225000	16000	265000
364	225667	16000	265000
365	226333	16000	265000
366	227000	16000	265000
367	227667	16000	265000
368	228333	16000	265000
369	229000	16000	265000
370	229667	16000	265000
371	230333	16000	265000
372	231000	16000	265000
373	231667	16000	265000
374	232333	16000	265000
375	233000	16000	265000
376	233667	16000	265000
377	234333	16000	265000
378	235000	16000	265000
379	235667	16000	265000
380	236333	16000	265000
381	237000	16000	265000
382	237667	16000	265000
383	238333	16000	265000
384	239000	16000	265000
385	239667	16000	265000
386	240333	16000	265000
387	241000	16000	265000
388	241667	16000	265000
389	242333	16000	265000
390	243000	16000	265000
391	243667	16000	265000
392	244333	16000	265000
393	245000	16000	265000
394	245667	16000	265000
395	246333	16000	265000
396	247000	16000	265000
397	247667	16000	265000
398	248333	16000	265000
399	249000	16000	265000
400	249667	16000	265000
401	250333	16000	265000
402	251000	16034	265000
403	251668	16134	265000
404	252340	16293	265000
405	253019	16500	265000
406	253707	16741	265000
407	254404	17000	265000
408	255113	17259	265000
409	255832	17500	265000
410	256561	17707	265000
411	257299	17866	265000
412	258043	17966	265000
413	258792	18000	265000
414	259542	17966	265000
415	260290	17866	265000
416	261035	17707	265000
417	261772	17500	265000
418	262502	17259	265000
419	263221	17000	265000
420	263929	16741	265000
421	264627	16500	265000
422	265314	16293	265000
423	265993	16134	265000
424	266665	16034	265000
425	267333	16000	265000
426	268000	16000	265000
427	268667	16000	265000
428	269333	16000	265000
429	270000	16000	265000
430	270667	16000	265000
431	271333	16000	265000
432	272000	16000	265000
433	272667	16000	265000
434	273333	16000	265000
435	274000	16000	265000
436	274667	16000	265000
437	275333	16000	265000
438	276000	16000	265000
439	276667	16000	265000
440	277333	16000	265000
441	278000	16000	265000
442	278667	16000	265000
443	279333	16000	265000
444	280000	16000	265000
445	280667	16000	265000
446	281333	16000	265000
447	282000	16000	265000
448	282667	16000	265000
449	283333	16000	265000
450	284000	16000	265000
451	284667	16000	265000
452	285333	16000	265000
453	286000	16000	265000
454	286667	16000	265000
455	287333	16000	265000
456	288000	16000	265000
457	288667	16000	265000
458	289333	16000	265000
459	290000	16000	265000
460	290667	16000	265000
461	291333	16000	265000
462	292000	16000	265000
463	292667	16000	265000
464	293333	16000	265000
465	294000	16000	265000
466	294667	16000	265000
467	295333	16000	265000
468	296000	16000	265000
469	296667	16000	265000
470	297333	16000	265000
471	298000	16000	265000
472	298667	16000	265000
473	299333	16000	265000
474	300000	16000	265000
475	300667	16000	265000
476	301333	16000	265000
477	302000	16000	265000
478	302667	16000	265000
479	303333	16000	265000
480	304000	16000	265000
481	304667	16000	265000
482	305333	16000	265000
483	306000	16000	265000
484	306667	16000	265000
485	307333	16000	265000
486	308000	16000	265000
487	308667	16000	265000
488	309333	16000	265000
489	310000	16000	265000
490	310667	16000	265000
491	311333	16000	265000
492	312000	16000	265000
493	312667	16000	265000
494	313333	16000	265000
495	314000	16000	265000
496	314667	16000	265000
497	315333	16000	265000
498	316000	16000	265000
499	316667	16000	265000
500	317333	16000	265000
501	318000	16000	265000
502	318667	16000	265000
503	319333	16000	265000
504	320000	16000	265000
505	320667	16000	265000
506	321333	16000	265000
507	322000	16000	265000
508	322667	16000	265000
509	323333	16000	265000
510	324000	16000	265000
511	324667	16000	265000
512	325333	16000	265000
513	326000	16000	265000
514	326667	16000	265000
515	327333	16000	265000
516	328000	16000	265000
517	328667	16000	265000
518	329333	16000	265000
519	330000	16000	265000
520	330667	16000	265000
521	331333	16000	265000
522	332000	16000	265000
523	332667	16000	265000
524	333333	16000	265000
525	334000	16000	265000
526	334667	16000	265000
527	335333	16000	265000
528	336000	16000	265000
529	336667	16000	265000
530	337333	16000	265000
531	338000	16000	265000
532	338667	16000	265000
533	339333	16000	265000
534	340000	16000	265000
535	340667	16000	265000
536	341333	16000	265000
537	342000	16000	265000
538	342667	16000	265000
539	343333	16000	265000
540	344000	16000	265000
541	344667	16000	265000
542	345333	16000	265000
543	346000	16000	265000
544	346667	16000	265000
545	347333	16000	265000
546	348000	16000	265000
547	348667	16000	265000
548	349333	16000	265000
549	350000	16000	265000
550	350667	16000	265000
551	351333	16000	265000
552	352000	16000	265000
553	352667	16000	265000
554	353333	16000	265000
555	354000	16000	265000
556	354667	16000	265000
557	355333	16000	265000
558	356000	16000	265000
559	356667	16000	265000
560	357333	16000	265000
561	358000	16000	265000
562	358667	16000	265000
563	359333	16000	265000
564	360000	16000	265000
565	360667	16000	265000
566	361333	16000	265000
567	362000	16000	265000
568	362667	16000	265000
569	363333	16000	265000
570	364000	16000	265000
571	364667	16000	265000
572	365333	16000	265000
573	366000	16000	265000
574	366667	16000	265000
575	367333	16000	265000
576	368000	16000	265000
577	368667	16000	265000
578	369333	16000	265000
579	370000	16000	265000
580	370667	16000	265000
581	371333	16000	265000
582	372000	16000	265000
583	372667	16000	265000
584	373333	16000	265000
585	374000	16000	265000
586	374667	16000	265000
587	375333	16000	265000
588	376000	16000	265000
589	376667	16000	265000
590	377333	16000	265000
591	378000	16000	265000
592	378667	16000	265000
593	379333	16000	265000
594	380000	16000	265000
595	380667	16000	265000
596	381333	16000	265000
597	382000	16000	265000
598	382667	16000	265000
599	383333	16000	265000
600	384000	16000	265000
601	384667	16000	265000
602	385333	16000	265000
603	386000	16000	265000
604	386667	16000	265000
605	387333	16000	265000
606	388000	16000	265000
607	388667	16000	265000
608	389333	16000	265000
609	390000	16000	265000
610	390667	16000	265000
611	391333	16000	265000
612	392000	16000	265000
613	392667	16000	265000
614	393333	16000	265000
615	394000	16000	265000
616	394667	16000	265000
617	395333	16000	265000
618	396000	16000	265000
619	396667	16000	265000
620	397333	16000	265000
621	398000	16000	265000
622	398667	16000	265000
623	399333	16000	265000
624	400000	16000	265000
625	400667	16000	265000
626	401333	16000	265000
627	402000	16000	265000
628	402667	16000	265000
629	403333	16000	265000
630	404000	16000	265000
631	404667	16000	265000
632	405333	16000	265000
633	406000	16000	265000
634	406667	16000	265000
635	407333	16000	265000
636	408000	16000	265000
637	408667	16000	265000
638	409333	16000	265000
639	410000	16000	265000
640	410667	16000	265000
641	411333	16000	265000
642	412000	16000	265000
643	412667	16000	265000
644	413333	16000	265000
645	414000	16000	265000
646	414667	16000	265000
647	415333	16000	265000
648	416000	16000	265000
649	416667	16000	265000
650	417333	16000	265000
651	418000	16000	265000
652	418667	16000	265000
653	419333	16000	265000
654	420000	16000	265000
655	420667	16000	265000
656	421333	16000	265000
657	422000	16000	265000
658	422667	16000	265000
659	423333	16000	265000
660	424000	16000	265000
661	424667	16000	265000
662	425333	16000	265000
663	426000	16000	265000
664	426667	16000	265000
665	427333	16000	265000
666	428000	16000	265000
667	428667	16000	265000
668	429333	16000	265000
669	430000	16000	265000
670	430667	16000	265000
671	431333	16000	265000
672	432000	16000	265000
673	432667	16000	265067
674	433333	16000	265133
675	434000	16000	265200
676	434667	16000	265267
677	435333	16000	265333
678	436000	16000	265400
679	436667	16000	265467
680	437333	16000	265533
681	438000	16000	265600
682	438667	16000	265667
683	439333	16000	265733
684	440000	16000	265800
685	440667	16000	265867
686	441333	16000	265933
687	442000	16000	266000
688	442667	16000	266067
689	443333	16000	266133
690	444000	16000	266200
691	444667	16000	266267
692	445333	16000	266333
693	446000	16000	266400
694	446667	16000	266467
695	447333	16000	266533
696	448000	16000	266600
697	448667	16000	266667
698	449333	16000	266733
699	450000	16000	266800
700	450667	16000	266867
701	451333	16000	266933
702	452000	16000	267000
703	452667	15998	267006
704	453333	15996	267025
705	453999	15993	267057
706	454663	15989	267101
707	455327	15983	267159
708	455989	15978	267228
709	456650	15971	267310
710	457309	15963	267405
711	457965	15954	267512
712	458619	15945	267632
713	459270	15934	267763
714	459918	15923	267907
715	460562	15911	268063
716	461203	15898	268232
717	461840	15884	268412
718	462474	15869	268604
719	463102	15853	268808
720	463726	15837	269023
721	464345	15819	269250
722	464960	15801	269488
723	465568	15782	269737
724	466172	15762	269997
725	466769	15742	270269
726	467361	15720	270551
727	467946	15698	270843
728	468524	15675	271146
729	469097	15652	271460
730	469662	15627	271783
731	470220	15602	272116
732	470771	15576	272459
733	471315	15549	272812
734	471851	15522	273174
735	472379	15494	273545
736	472899	15466	273925
737	473412	15436	274313
738	473916	15406	274711
739	474411	15376	275116
740	474898	15345	275530
741	475377	15313	275951
742	475846	15281	276381
743	476307	15248	276817
744	476759	15215	277261
745	477202	15181	277712
746	477635	15146	278170
747	478059	15112	278635
748	478473	15076	279106
749	478879	15040	279582
750	479274	15004	280065
751	479660	14968	280554
752	480036	14930	281048
753	480402	14893	281547
754	480759	14855	282052
755	481105	14817	282561
756	481442	14779	283075
757	481769	14740	283593
758	482085	14701	284115
759	482392	14662	284641
760	482689	14622	285171
761	482975	14583	285705
762	483252	14543	286242
763	483518	14503	286782
764	483775	14462	287324
765	484021	14422	287870
766	484257	14381	288418
767	484483	14341	288968
768	484699	14300	289520
769	484906	14259	290074
770	485102	14218	290630
771	485288	14178	291187
772	485464	14137	291746
773	485631	14096	292306
774	485787	14055	292866
775	485934	14015	293428
776	486071	13974	293990
777	486198	13934	294552
778	486316	13893	295115
779	486424	13853	295678
780	486523	13813	296241
781	486612	13773	296803
782	486692	13734	297365
783	486762	13694	297927
784	486823	13655	298487
785	486875	13616	299047
786	486918	13578	299606
787	486952	13539	300164
788	486977	13501	300721
789	486993	13464	301276
790	487000	13427	301830
791	486998	13390	302382
792	486988	13353	302932
793	486969	13317	303481
794	486941	13282	304027
795	486905	13247	304572
796	486861	13212	305114
797	486809	13178	305654
798	486748	13144	306191
799	486679	13111	306726
800	486603	13079	307258
801	486518	13047	307788
802	486426	13015	308315
803	486325	12984	308839
804	486217	12954	309360
805	486102	12925	309878
806	485979	12896	310392
807	485848	12867	310904
808	485711	12840	311412
809	485566	12813	311917
810	485413	12787	312419
811	485254	12761	312917
812	485087	12736	313412
813	484914	12712	313903
814	484734	12689	314390
815	484547	12666	314873
816	484353	12645	315353
817	484152	12624	315829
818	483945	12603	316301
819	483731	12584	316769
820	483511	12565	317233
821	483285	12548	317693
822	483052	12531	318149
823	482813	12515	318601
824	482567	12499	319048
825	482316	12485	319491
826	482058	12471	319930
827	481795	12459	320365
828	481525	12447	320795
829	481250	12436	321221
830	480969	12426	321642
831	480682	12417	322059
832	480389	12409	322471
833	480091	12401	322878
834	479787	12395	323281
835	479477	12390	323679
836	479162	12385	324073
837	478842	12381	324461
838	478516	12379	324845
839	478185	12377	325224
840	477848	12376	325598
841	477506	12376	325968
842	477159	12377	326332
843	476807	12379	326691
844	476449	12381	327045
845	476087	12385	327394
846	475719	12390	327737
847	475346	12395	328076
848	474969	12401	328409
849	474586	12409	328737
850	474199	12417	329059
851	473807	12426	329377
852	473410	12436	329688
853	473008	12447	329994
854	472601	12459	330295
855	472190	12471	330590
856	471774	12485	330879
857	471354	12499	331162
858	470929	12515	331440
859	470499	12531	331711
860	470065	12548	331977
861	469627	12565	332237
862	469184	12584	332491
863	468737	12603	332739
864	468286	12624	332980
865	467831	12645	333215
866	467371	12666	333444
867	466907	12689	333667
868	466439	12712	333883
869	465967	12736	334092
870	465491	12761	334295
871	465011	12787	334492
872	464527	12813	334681
873	464040	12840	334864
874	463549	12867	335040
875	463054	12896	335209
876	462555	12925	335371
877	462053	12954	335525
878	461547	12984	335673
879	461038	13015	335813
880	460526	13047	335946
881	460010	13079	336071
882	459491	13111	336189
883	458969	13144	336299
884	458444	13178	336402
885	457916	13212	336496
886	457386	13247	336583
887	456852	13282	336662
888	456316	13317	336733
889	455777	13353	336796
890	455236	13390	336850
891	454692	13427	336896
892	454146	13464	336934
893	453598	13501	336963
894	453048	13539	336984
895	452496	13578	336996
896	451943	13616	337000
897	451387	13655	336995
898	450830	13694	336980
899	450272	13734	336957
900	449712	13773	336925
901	449151	13813	336884
902	448589	13853	336833
903	448027	13893	336774
904	447463	13934	336705
905	446899	13974	336626
906	446335	14015	336538
907	445770	14055	336441
908	445205	14096	336334
909	444640	14137	336217
910	444076	14178	336091
911	443512	14218	335955
912	442948	14259	335809
913	442385	14300	335654
914	441823	14341	335488
915	441263	14381	335312
916	440703	14422	335127
917	440145	14462	334931
918	439589	14503	334726
919	439035	14543	334510
920	438482	14583	334284
921	437932	14622	334048
922	437385	14662	333802
923	436840	14701	333546
924	436298	14740	333280
925	435759	14779	333004
926	435223	14817	332717
927	434691	14855	332421
928	434163	14893	332114
929	433639	14930	331797
930	433119	14968	331470
931	432603	15004	331134
932	432092	15040	330787
933	431586	15076	330430
934	431085	15112	330063
935	430589	15146	329687
936	430099	15181	329301
937	429614	15215	328905
938	429135	15248	328499
939	428663	15281	328084
940	428197	15313	327660
941	427738	15345	327226
942	427285	15376	326782
943	426840	15406	326330
944	426401	15436	325869
945	425971	15466	325398
946	425548	15494	324919
947	425133	15522	324431
948	424726	15549	323935
949	424328	15576	323430
950	423938	15602	322917
951	423557	15627	322396
952	423185	15652	321867
953	422822	15675	321330
954	422469	15698	320786
955	422125	15720	320234
956	421791	15742	319675
957	421467	15762	319109
958	421153	15782	318536
959	420849	15801	317957
960	420556	15819	317371
961	420273	15837	316779
962	420001	15853	316180
963	419740	15869	315577
964	419491	15884	314967
965	419252	15898	314352
966	419025	15911	313732
967	418809	15923	313108
968	418605	15934	312478
969	418413	15945	311845
970	418233	15954	311207
971	418064	15963	310566
972	417908	15971	309921
973	417764	15978	309272
974	417632	15983	308621
975	417512	15989	307967
976	417405	15993	307310
977	417310	15996	306651
978	417228	15998	305990
979	417159	16000	305328
980	417102	16000	304664
981	417057	16000	303999
982	417025	16000	303333
983	417006	16000	302667
984	417000	16000	302000
985	416933	16000	301333
986	416867	16000	300667
987	416800	16000	300000
988	416733	16000	299333
989	416667	16000	298667
990	416600	16000	298000
991	416533	16000	297333
992	416467	16000	296667
993	416400	16000	296000
994	416333	16000	295333
995	416267	16000	294667
996	416200	16000	294000
997	416133	16000	293333
998	416067	16000	292667
999	416000	16000	292000
1000	415933	16000	291333
1001	415867	16000	290667
1002	415800	16000	290000
1003	415733	16000	289333
1004	415667	16000	288667
1005	415600	16000	288000
1006	415533	16000	287333
1007	415467	16000	286667
1008	415400	16000	286000
1009	415333	16000	285333
1010	415267	16000	284667
1011	415200	16000	284000
1012	415133	16000	283333
1013	415067	16000	282667
1014	415000	16000	282000
1015	415000	16000	281333
1016	415000	16000	280667
1017	415000	16000	280000
1018	415000	16000	279333
1019	415000	16000	278667
1020	415000	16000	278000
1021	415000	16000	277333
1022	415000	16000	276667
1023	415000	16000	276000
1024	415000	16000	275333
1025	415000	16000	274667
1026	415000	16000	274000
1027	415000	16000	273333
1028	415000	16000	272667
1029	415000	16000	272000
1030	415000	16000	271333
1031	415000	16000	270667
1032	415000	16000	270000
1033	415000	16000	269333
1034	415000	16000	268667
1035	415000	16000	268000
1036	415000	16000	267333
1037	415000	16000	266667
1038	415000	16000	266000
1039	415000	16000	265333
1040	415000	16000	264667
1041	415000	16000	264000
1042	415000	16000	263333
1043	415000	16000	262667
1044	415000	16000	262000
1045	415000	16000	261333
1046	415000	16000	260667
1047	415000	16000	260000
1048	415000	16000	259333
1049	415000	16000	258667
1050	415000	16000	258000
1051	415000	16000	257333
1052	415000	16000	256667
1053	415000	16000	256000
1054	415000	16000	255333
1055	415000	16000	254667
1056	415000	16000	254000
1057	415000	16000	253333
1058	415000	16000	252667
1059	415000	16000	252000
1060	415000	16000	251333
1061	415000	16000	250667
1062	415000	16000	250000
1063	415000	16000	249333
1064	415000	16000	248667
1065	415000	16000	248000
1066	415000	16000	247333
1067	415000	16000	246667
1068	415000	16000	246000
1069	415000	16000	245333
1070	415000	16000	244667
1071	415000	16000	244000
1072	415000	16000	243333
1073	415000	16000	242667
1074	415000	16000	242000
1075	415000	16000	241333
1076	415000	16000	240667
1077	415000	16000	240000
1078	415000	16000	239333
1079	415000	16000	238667
1080	415000	16000	238000
1081	415000	16000	237333
1082	415000	16000	236667
1083	415000	16000	236000
1084	415000	16000	235333
1085	415000	16000	234667
1086	415000	16000	234000
1087	415000	16000	233333
1088	415000	16000	232667
1089	415000	16000	232000
1090	415000	16000	231333
1091	415000	16000	230667
1092	415000	16000	230000
1093	415000	16000	229333
1094	415000	16000	228667
1095	415000	16000	228000
1096	415000	16000	227333
1097	415000	16000	226667
1098	415000	16000	226000
1099	415000	16000	225333
1100	415000	16000	224667
1101	415000	16000	224000
1102	415000	16000	223333
1103	415000	16000	222667
1104	415000	16000	222000
1105	415000	16000	221333
1106	415000	16000	220667
1107	415000	16000	220000
1108	415000	16000	219333
1109	415000	16000	218667
1110	415000	16000	218000
1111	415000	16000	217333
1112	415000	16000	216667
1113	415000	16000	216000
1114	415000	16000	215333
1115	415000	16000	214667
1116	415000	16000	214000
1117	415000	16000	213333
1118	415000	16000	212666
1119	415000	16000	211999
1120	415000	16000	211330
1121	415000	16000	210659
1122	415000	16000	209986
1123	415000	16000	209310
1124	415000	16000	208630
1125	415000	16000	207948
1126	415000	16000	207260
1127	415000	16000	206569
1128	415000	16000	205873
1129	415000	16000	205171
1130	415000	16000	204465
1131	415000	16000	203752
1132	415000	16000	203034
1133	415000	16000	202310
1134	415000	16000	201580
1135	415000	16000	200844
1136	415000	16000	200102
1137	415000	16000	199354
1138	415000	16000	198599
1139	415000	16000	197840
1140	415000	16000	197074
1141	415000	16000	196303
1142	415000	16000	195527
1143	415000	16000	194747
1144	415000	16000	193961
1145	415000	16000	193172
1146	415000	16000	192379
1147	415000	16000	191583
1148	415000	16000	190784
1149	415000	16000	189982
1150	415000	16000	189179
1151	415000	16000	188375
1152	415000	16000	187569
1153	415000	16000	186764
1154	415000	16000	185959
1155	415000	16000	185154
1156	415000	16000	184351
1157	415000	16000	183550
1158	415000	16000	182750
1159	415000	16000	181954
1160	415000	16000	181161
1161	415000	16000	180372
1162	415000	16000	179587
1163	415000	16000	178806
1164	415000	16000	178030
1165	415000	16000	177259
1166	415000	16000	176494
1167	415000	16000	175734
1168	415000	16000	174980
1169	415000	16000	174232
1170	415000	16000	173489
1171	415000	16000	172753
1172	415000	16000	172023
1173	415000	16000	171299
1174	415000	16000	170581
1175	415000	16000	169869
1176	415000	16000	169162
1177	415000	16000	168461
1178	415000	16000	167764
1179	415000	16000	167068
1180	415000	16000	166377
1181	415000	16000	165691
1182	415000	16000	165009
1183	415000	16000	164331
1184	415000	16000	163657
1185	415000	16000	162985
1186	415000	16000	162315
1187	415000	16000	161647
1188	415000	16000	160980
1189	415000	16000	160314
1190	415000	16000	159647
1191	415000	16000	158979
1192	415000	16000	158312
1193	415000	16000	157646
1194	415000	16000	156979
1195	415000	16000	156312
1196	415000	16000	155646
1197	415000	16000	154979
1198	415000	16000	154312
1199	415000	16000	153646
1200	415000	16000	152979
1201	415000	16000	152312
1202	415000	16000	151646
1203	415000	16000	150979
1204	415000	16000	150312
1205	415000	16000	149646
1206	415000	16000	148979
1207	415000	16000	148312
1208	415000	16000	147646
1209	415000	16000	146979
1210	415000	16000	146312
1211	415000	16000	145646
1212	415000	16000	144979
1213	415000	16000	144312
1214	415000	16000	143646
1215	415000	16000	142979
1216	415000	16000	142312
1217	415000	16000	141646
1218	415000	16000	140979
1219	415000	16000	140312
1220	415000	16000	139646
1221	415000	16000	138979
1222	415000	16000	138312
1223	415000	16000	137646
1224	415000	16000	136979
1225	415000	16000	136312
1226	415000	16000	135646
1227	415000	16000	134979
1228	415000	16000	134312
1229	415000	16000	133646
1230	415000	16000	132979
1231	415000	16000	132312
1232	415000	16000	131646
1233	415000	16000	130979
1234	415000	16000	130312
1235	415000	16000	129646
1236	415000	16000	128979
1237	415000	16000	128312
