frame	x	V
0	0.00	16000.00
1	666.67	16000.00
2	1333.33	16000.00
3	2000.00	16000.00
4	2666.67	16000.00
5	3333.33	16000.00
6	4000.00	16000.00
7	4666.67	16000.00
8	5333.33	16000.00
9	6000.00	16000.00
10	6666.67	16000.00
11	7333.33	16000.00
12	8000.00	16000.00
13	8666.67	16000.00
14	9333.33	16000.00
15	10000.00	16000.00
16	10666.67	16000.00
17	11333.33	16000.00
18	12000.00	16000.00
19	12666.67	16000.00
20	13333.33	16000.00
21	14000.00	16000.00
22	14666.67	16000.00
23	15333.33	16000.00
24	16000.00	16000.00
25	16666.67	16000.00
26	17333.33	16000.00
27	18000.00	16000.00
28	18666.67	16000.00
29	19333.33	16000.00
30	20000.00	16000.00
31	20666.67	16000.00
32	21333.33	16000.00
33	22000.00	16000.00
34	22666.67	16000.00
35	23333.33	16000.00
36	24000.00	16000.00
37	24666.67	16000.00
38	25333.33	16000.00
39	26000.00	16000.00
40	26666.67	16000.00
41	27333.33	16000.00
42	28000.00	16000.00
43	28666.67	16000.00
44	29333.33	16000.00
45	30000.00	16000.00
46	30666.67	16000.00
47	31333.33	16000.00
48	32000.00	16000.00
49	32666.67	16000.00
50	33333.33	16000.00
51	34000.00	16000.00
52	34666.67	16000.00
53	35333.33	16000.00
54	36000.00	16000.00
55	36666.67	16000.00
56	37333.33	16000.00
57	38000.00	16000.00
58	38666.67	16000.00
59	39333.33	16000.00
60	40000.00	16000.00
61	40666.67	16000.00
62	41333.33	16000.00
63	42000.00	16000.00
64	42666.67	16000.00
65	43333.33	16000.00
66	44000.00	16000.00
67	44666.67	16000.00
68	45333.33	16000.00
69	46000.00	16000.00
70	46666.67	16000.00
71	47333.33	16000.00
72	48000.00	16006.34
73	48666.93	16025.32
74	49334.65	16056.79
75	50003.69	16100.51
76	50674.54	16156.15
77	51347.71	16223.29
78	52023.68	16301.41
79	52702.91	16389.93
80	53385.82	16488.16
81	54072.83	16595.36
82	54764.30	16710.71
83	55460.58	16833.34
84	56161.97	16962.30
85	56868.73	17096.64
86	57581.09	17235.30
87	58299.23	17377.26
88	59023.28	17521.41
89	59753.34	17666.67
90	60489.45	17811.93
91	61231.62	17956.08
92	61979.79	18098.04
93	62733.87	18236.70
94	63493.74	18371.04
95	64259.19	18500.01
96	65030.03	18622.63
97	65805.97	18737.98
98	66586.72	18845.18
99	67371.94	18943.41
100	68161.25	19031.93
101	68954.24	19110.05
102	69750.49	19177.19
103	70549.54	19232.83
104	71350.91	19276.55
105	72154.10	19308.02
106	72958.60	19327.00
107	73763.89	19333.34
108	74569.45	19327.00
109	75374.74	19308.02
110	76179.24	19276.55
111	76982.43	19232.83
112	77783.80	19177.19
113	78582.85	19110.05
114	79379.10	19031.93
115	80172.10	18943.41
116	80961.41	18845.18
117	81746.62	18737.98
118	82527.37	18622.63
119	83303.31	18500.01
120	84074.15	18371.04
121	84839.61	18236.70
122	85599.47	18098.04
123	86353.56	17956.08
124	87101.73	17811.93
125	87843.89	17666.67
126	88580.00	17521.41
127	89310.06	17377.26
128	90034.11	17235.30
129	90752.25	17096.64
130	91464.61	16962.30
131	92171.37	16833.34
132	92872.76	16710.71
133	93569.04	16595.36
134	94260.51	16488.16
135	94947.52	16389.93
136	95630.43	16301.41
137	96309.66	16223.29
138	96985.63	16156.15
