frame	x	v
0	none	
1	none	16000.00
2	none	16000.00
3	none	16000.00
4	none	16000.00
5	none	16000.00
6	none	16000.00
7	none	16000.00
8	none	16000.00
9	none	16000.00
10	none	16000.00
11	none	16000.00
12	840000.00	16000.00
13	839333.33	16000.00
14	838666.67	16000.00
15	838000.00	16000.00
16	837333.33	16000.00
17	836666.67	16000.00
18	836000.00	16000.00
19	835333.33	16000.00
20	834666.67	16000.00
21	834000.00	16000.00
22	833333.33	16000.00
23	832666.67	16000.00
24	832000.00	16000.00
25	831333.33	16000.00
26	830666.67	16000.00
27	830000.00	16000.00
28	829333.33	16000.00
29	828666.67	16000.00
30	828000.00	16000.00
31	827333.33	16000.00
32	826666.67	16000.00
33	826000.00	16000.00
34	825333.33	16000.00
35	824666.67	16000.00
36	824000.00	16000.00
37	823333.33	16000.00
38	822666.67	16000.00
39	822000.00	16000.00
40	821333.33	16000.00
41	820666.67	16000.00
42	820000.00	16000.00
43	819333.33	16000.00
44	818666.67	16000.00
45	818000.00	16000.00
46	817333.33	16000.00
47	816666.67	16000.00
48	816000.00	16000.00
49	815333.33	16000.00
50	814666.67	16000.00
51	814000.00	16000.00
52	813333.33	16000.00
53	812666.67	16000.00
54	812000.00	16000.00
55	811333.33	16000.00
56	810666.67	16000.00
57	810000.00	16000.00
58	809333.33	16000.00
59	808666.67	16000.00
60	808000.00	16000.00
61	807333.33	16000.00
62	806666.67	16000.00
63	806000.00	16000.00
64	805333.33	16000.00
65	804666.67	16000.00
66	804000.00	16000.00
67	803333.33	16000.00
68	802666.67	16000.00
69	802000.00	16000.00
70	801333.33	16000.00
71	800666.67	16000.00
72	800000.00	16000.00
73	799333.33	16000.00
74	798666.67	16000.00
75	798000.00	16000.00
76	797333.33	16000.00
77	796666.67	16000.00
78	796000.00	16000.00
79	795333.33	16000.00
80	794666.67	16000.00
81	794000.00	16000.00
82	793333.33	16000.00
83	792666.67	16000.00
84	792000.00	16000.00
85	791333.33	16006.34
86	790666.40	16025.32
87	789998.68	16056.79
88	789329.65	16100.51
89	788658.79	16156.15
90	787985.62	16223.29
91	787309.65	16301.41
92	786630.42	16389.93
93	785947.51	16488.16
94	785260.50	16595.36
95	784569.03	16710.71
96	783872.75	16833.34
97	783171.36	16962.30
98	782464.60	17096.64
99	781752.24	17235.30
100	781034.10	17377.26
101	780310.05	17521.41
102	779579.99	17666.67
103	778843.88	17811.93
104	778101.72	17956.08
105	777353.55	18098.04
106	776599.46	18236.70
107	775839.60	18371.04
108	775074.14	18500.01
109	774303.30	18622.63
110	773527.36	18737.98
111	772746.61	18845.18
112	771961.40	18943.41
113	771172.09	19031.93
114	770379.09	19110.05
115	769582.84	19177.19
116	768783.79	19232.83
117	767982.42	19276.55
118	767179.23	19308.02
119	766374.73	19327.00
120	765569.44	19333.34
121	764763.88	19327.00
122	763958.59	19308.02
123	763154.09	19276.55
124	762350.90	19232.83
125	761549.53	19177.19
126	760750.48	19110.05
127	759954.23	19031.93
128	759161.24	18943.41
129	758371.93	18845.18
130	757586.71	18737.98
131	756805.96	18622.63
132	756030.02	18500.01
133	755259.18	18371.04
134	754493.73	18236.70
135	753733.86	18098.04
