no	name	baseTable	direction	horizontal	x	y	delay	frame_rate
1	S-E2W2	1	h	f		1000	12	24
2	S-E2W4	1	h	f		3000	12	24
3	Sm-E2W2	1	h	f		204000	12	24
4	Sm-E2W4	1	h	f		206000	12	24
5	Sm-W2E2	2	h	b		200000	0	24
6	Sm-W2E4	2	h	b		202000	0	24
7	Nm-E2W2	1	h	f		413000	12	24
8	Nm-E2W4	1	h	f		415000	12	24
9	Nm-W2E2	2	h	b		409000	0	24
10	Nm-W2E4	2	h	b		411000	0	24
11	N-W2E2	2	h	b		591000	0	24
12	N-W2E4	2	h	b		593000	0	24
13	W-S2N2	3	v	f	1000		18	24
14	W-S2N	3	v	f	3000		18	24
15	Wm-S2N2	3	v	f	263000		18	24
16	Wm-S2N4	3	v	f	265000		18	24
17	Wm-N2S2	4	v	b	259000		6	24
18	Wm-N2S4	4	v	b	261000		6	24
19	Em-N2S2	4	v	b	640000		6	24
20	Em-N2S4	4	v	b	642000		6	24
21	Em-S2N2	3	v	f	644000		18	24
22	Em-S2N4	3	v	f	646000		18	24
23	E-N2S4	4	v	b	837000		6	24
24	E-N2S2	4	v	b	839000		6	24
