frame	y	V
0	none	
1		16000.00
2		16000.00
3		16000.00
4		16000.00
5		16000.00
6	594000.00	16000.00
7	593333.33	16000.00
8	592666.67	16000.00
9	592000.00	16000.00
10	591333.33	16000.00
11	590666.67	16000.00
12	590000.00	16000.00
13	589333.33	16000.00
14	588666.67	16000.00
15	588000.00	16000.00
16	587333.33	16000.00
17	586666.67	16000.00
18	586000.00	16000.00
19	585333.33	16000.00
20	584666.67	16000.00
21	584000.00	16000.00
22	583333.33	16000.00
23	582666.67	16000.00
24	582000.00	16000.00
25	581333.33	16000.00
26	580666.67	16000.00
27	580000.00	16000.00
28	579333.33	16000.00
29	578666.67	16000.00
30	578000.00	16000.00
31	577333.33	16000.00
32	576666.67	16000.00
33	576000.00	16000.00
34	575333.33	16000.00
35	574666.67	16000.00
36	574000.00	16000.00
37	573333.33	16000.00
38	572666.67	16000.00
39	572000.00	16000.00
40	571333.33	16000.00
41	570666.67	16000.00
42	570000.00	16000.00
43	569333.33	16000.00
44	568666.67	16000.00
45	568000.00	16000.00
46	567333.33	16000.00
47	566666.67	16000.00
48	566000.00	16000.00
49	565333.33	16000.00
50	564666.67	16000.00
51	564000.00	16000.00
52	563333.33	16000.00
53	562666.67	16000.00
54	562000.00	16000.00
55	561333.33	16000.00
56	560666.67	16000.00
57	560000.00	16000.00
58	559333.33	16000.00
59	558666.67	16000.00
60	558000.00	16000.00
61	557333.33	16000.00
62	556666.67	16000.00
63	556000.00	16000.00
64	555333.33	16000.00
65	554666.67	16000.00
66	554000.00	16000.00
67	553333.33	16000.00
68	552666.67	16000.00
69	552000.00	16000.00
70	551333.33	16000.00
71	550666.67	16000.00
72	550000.00	16000.00
73	549333.33	16000.00
74	548666.67	16000.00
75	548000.00	16000.00
76	547333.33	16000.00
77	546666.67	16000.00
78	546000.00	16000.00
79	545333.02	16007.61
80	544665.08	16030.38
81	543995.58	16068.15
82	543323.89	16120.61
83	542649.41	16187.38
84	541971.58	16267.95
85	541289.84	16361.70
86	540603.68	16467.91
87	539912.60	16585.79
88	539216.17	16714.42
89	538513.97	16852.85
90	537805.64	17000.00
91	537090.85	17154.76
92	536369.35	17315.96
